1,1223541953.927963000,0x00008bfd,192.168.110.131,2074,192.168.110.138,502
2,1223541953.929098000,0x00003bda,192.168.110.138,502,192.168.110.131,2074
3,1223541953.929171000,0x00008bfe,192.168.110.131,2074,192.168.110.138,502
4,1223541953.930003000,0x00003bdb,192.168.110.138,502,192.168.110.131,2074
5,1223541954.942774000,0x00008c00,192.168.110.131,2074,192.168.110.138,502
6,1223541954.944214000,0x00003bf8,192.168.110.138,502,192.168.110.131,2074
7,1223541954.944313000,0x00008c01,192.168.110.131,2074,192.168.110.138,502
8,1223541954.945105000,0x00003bf9,192.168.110.138,502,192.168.110.131,2074
9,1223541955.930829000,0x00008c04,192.168.110.131,2074,192.168.110.138,502
10,1223541955.931978000,0x00003c17,192.168.110.138,502,192.168.110.131,2074
11,1223541955.932046000,0x00008c05,192.168.110.131,2074,192.168.110.138,502
12,1223541955.932878000,0x00003c18,192.168.110.138,502,192.168.110.131,2074
13,1223541956.932270000,0x00008c07,192.168.110.131,2074,192.168.110.138,502
14,1223541956.933391000,0x00003c34,192.168.110.138,502,192.168.110.131,2074
15,1223541956.933457000,0x00008c08,192.168.110.131,2074,192.168.110.138,502
16,1223541956.934296000,0x00003c35,192.168.110.138,502,192.168.110.131,2074
17,1223541957.933687000,0x00008c0a,192.168.110.131,2074,192.168.110.138,502
18,1223541957.934854000,0x00003c52,192.168.110.138,502,192.168.110.131,2074
19,1223541957.934919000,0x00008c0b,192.168.110.131,2074,192.168.110.138,502
20,1223541957.935765000,0x00003c53,192.168.110.138,502,192.168.110.131,2074
21,1223541958.935141000,0x00008c0d,192.168.110.131,2074,192.168.110.138,502
22,1223541958.936374000,0x00003c75,192.168.110.138,502,192.168.110.131,2074
23,1223541958.936786000,0x00008c0e,192.168.110.131,2074,192.168.110.138,502
24,1223541958.937289000,0x00003c76,192.168.110.138,502,192.168.110.131,2074
25,1223541959.936631000,0x00008c10,192.168.110.131,2074,192.168.110.138,502
26,1223541959.937736000,0x00003c92,192.168.110.138,502,192.168.110.131,2074
27,1223541959.937804000,0x00008c11,192.168.110.131,2074,192.168.110.138,502
28,1223541959.938571000,0x00003c93,192.168.110.138,502,192.168.110.131,2074
29,1223541960.938046000,0x00008c13,192.168.110.131,2074,192.168.110.138,502
30,1223541960.939216000,0x00003cb0,192.168.110.138,502,192.168.110.131,2074
31,1223541960.939284000,0x00008c14,192.168.110.131,2074,192.168.110.138,502
32,1223541960.940128000,0x00003cb1,192.168.110.138,502,192.168.110.131,2074
33,1223541961.939494000,0x00008c1a,192.168.110.131,2074,192.168.110.138,502
34,1223541961.940123000,0x00003cce,192.168.110.138,502,192.168.110.131,2074
35,1223541961.940187000,0x00008c1b,192.168.110.131,2074,192.168.110.138,502
36,1223541961.941488000,0x00003ccf,192.168.110.138,502,192.168.110.131,2074
37,1223541962.940903000,0x00008c1d,192.168.110.131,2074,192.168.110.138,502
38,1223541962.942007000,0x00003cec,192.168.110.138,502,192.168.110.131,2074
39,1223541962.942073000,0x00008c1e,192.168.110.131,2074,192.168.110.138,502
40,1223541962.942844000,0x00003ced,192.168.110.138,502,192.168.110.131,2074
41,1223541963.942346000,0x00008c77,192.168.110.131,2074,192.168.110.138,502
42,1223541963.943480000,0x00003d0a,192.168.110.138,502,192.168.110.131,2074
43,1223541963.943548000,0x00008c78,192.168.110.131,2074,192.168.110.138,502
44,1223541963.944328000,0x00003d0b,192.168.110.138,502,192.168.110.131,2074
45,1223541964.943788000,0x00008c7a,192.168.110.131,2074,192.168.110.138,502
46,1223541964.944889000,0x00003d27,192.168.110.138,502,192.168.110.131,2074
47,1223541964.944955000,0x00008c7b,192.168.110.131,2074,192.168.110.138,502
48,1223541964.945725000,0x00003d28,192.168.110.138,502,192.168.110.131,2074
49,1223541966.018868000,0x00008c7f,192.168.110.131,2074,192.168.110.138,502
50,1223541966.020064000,0x00003d45,192.168.110.138,502,192.168.110.131,2074
51,1223541966.020144000,0x00008c80,192.168.110.131,2074,192.168.110.138,502
52,1223541966.020932000,0x00003d46,192.168.110.138,502,192.168.110.131,2074
53,1223541967.016846000,0x00008c82,192.168.110.131,2074,192.168.110.138,502
54,1223541967.018202000,0x00003d64,192.168.110.138,502,192.168.110.131,2074
55,1223541967.018265000,0x00008c83,192.168.110.131,2074,192.168.110.138,502
56,1223541967.019367000,0x00003d65,192.168.110.138,502,192.168.110.131,2074
57,1223541968.018294000,0x00008c85,192.168.110.131,2074,192.168.110.138,502
58,1223541968.019611000,0x00003d81,192.168.110.138,502,192.168.110.131,2074
59,1223541968.019676000,0x00008c86,192.168.110.131,2074,192.168.110.138,502
60,1223541968.020535000,0x00003d82,192.168.110.138,502,192.168.110.131,2074
61,1223541969.019743000,0x00008c88,192.168.110.131,2074,192.168.110.138,502
62,1223541969.020897000,0x00003df7,192.168.110.138,502,192.168.110.131,2074
63,1223541969.020966000,0x00008c89,192.168.110.131,2074,192.168.110.138,502
64,1223541969.021790000,0x00003df8,192.168.110.138,502,192.168.110.131,2074
65,1223541970.021229000,0x00008c8b,192.168.110.131,2074,192.168.110.138,502
66,1223541970.022644000,0x00003e15,192.168.110.138,502,192.168.110.131,2074
67,1223541970.022708000,0x00008c8c,192.168.110.131,2074,192.168.110.138,502
68,1223541970.023527000,0x00003e16,192.168.110.138,502,192.168.110.131,2074
69,1223541971.022612000,0x00008c8e,192.168.110.131,2074,192.168.110.138,502
70,1223541971.023779000,0x00003e33,192.168.110.138,502,192.168.110.131,2074
71,1223541971.023844000,0x00008c8f,192.168.110.131,2074,192.168.110.138,502
72,1223541971.024662000,0x00003e34,192.168.110.138,502,192.168.110.131,2074
73,1223541972.024064000,0x00008c91,192.168.110.131,2074,192.168.110.138,502
74,1223541972.025242000,0x00003e51,192.168.110.138,502,192.168.110.131,2074
75,1223541972.025310000,0x00008c92,192.168.110.131,2074,192.168.110.138,502
76,1223541972.026156000,0x00003e52,192.168.110.138,502,192.168.110.131,2074
77,1223541973.025502000,0x00008c94,192.168.110.131,2074,192.168.110.138,502
78,1223541973.026867000,0x00003e6f,192.168.110.138,502,192.168.110.131,2074
79,1223541973.026936000,0x00008c95,192.168.110.131,2074,192.168.110.138,502
80,1223541973.027977000,0x00003e70,192.168.110.138,502,192.168.110.131,2074
81,1223541974.026990000,0x00008c9c,192.168.110.131,2074,192.168.110.138,502
82,1223541974.028132000,0x00003e91,192.168.110.138,502,192.168.110.131,2074
83,1223541974.028201000,0x00008c9d,192.168.110.131,2074,192.168.110.138,502
84,1223541974.029030000,0x00003e92,192.168.110.138,502,192.168.110.131,2074
85,1223541975.028398000,0x00008ca3,192.168.110.131,2074,192.168.110.138,502
86,1223541975.029491000,0x00003eaf,192.168.110.138,502,192.168.110.131,2074
87,1223541975.029559000,0x00008ca4,192.168.110.131,2074,192.168.110.138,502
88,1223541975.030346000,0x00003eb0,192.168.110.138,502,192.168.110.131,2074
89,1223541976.029809000,0x00008ca6,192.168.110.131,2074,192.168.110.138,502
90,1223541976.030938000,0x00003ecc,192.168.110.138,502,192.168.110.131,2074
91,1223541976.031000000,0x00008ca7,192.168.110.131,2074,192.168.110.138,502
92,1223541976.031825000,0x00003ecd,192.168.110.138,502,192.168.110.131,2074
93,1223541977.031261000,0x00008ca9,192.168.110.131,2074,192.168.110.138,502
94,1223541977.032429000,0x00003eeb,192.168.110.138,502,192.168.110.131,2074
95,1223541977.032496000,0x00008caa,192.168.110.131,2074,192.168.110.138,502
96,1223541977.033314000,0x00003eec,192.168.110.138,502,192.168.110.131,2074
97,1223541977.034105000,0x00008cab,192.168.110.131,2074,192.168.110.138,502
98,1223541977.035015000,0x00003eed,192.168.110.138,502,192.168.110.131,2074
99,1223541977.035426000,0x00008cac,192.168.110.131,2074,192.168.110.138,502
100,1223541977.035837000,0x00003eee,192.168.110.138,502,192.168.110.131,2074
101,1223541977.036283000,0x00008cad,192.168.110.131,2074,192.168.110.138,502
102,1223541977.037227000,0x00003eef,192.168.110.138,502,192.168.110.131,2074
